bid_time_utc,token_id,bidder,bidder_url,bidder_wallet,bid,bid_eth,bid_usd,extended,block_number,tx_hash
2026-05-16 23:07:11,716,@cryptomill,https://farcaster.xyz/cryptomill,0x71ce5605ab649d97446ef179bc2983b18ddc9a48,0.01100 ETH ($23),0.011,23.22,0,46091742,0x619e628919c4ddeaa21dda27e713b0df3e204355f637fc09d4bee3b231b37bc1
2026-05-16 05:18:57,716,@skunkape,https://farcaster.xyz/skunkape,0xca0edb47a8c9ef04dc2368946f46fb3d7c1a3202,0.01000 ETH ($21),0.01,21.11,0,46059695,0xfdcbf3837a5e48624626b9fc7782fb813741c52e59ab28154b9d5000a45e4b99
2026-05-16 04:12:37,716,@bobyboby2828,https://farcaster.xyz/bobyboby2828,0xb25d62823202cfa1c7b7c639b0c4c678a55584f5,0.00061 ETH ($1),0.00061,1.29,0,46057705,0x962c3d4343e0c7391385b6b807d01b1fca10331cb17e58f117b8c21727ba5caa
2026-05-16 04:12:09,716,@elaine16,https://farcaster.xyz/elaine16,0x96eef8c1b0df7b4d9d19cf0c73a9dc80b5600a3b,0.00055 ETH ($1),0.00055,1.16,0,46057691,0x10988da6328519174b858e7fb5dc0da9d71c29ddc46c9140dc1f6e269a0cd697
2026-05-16 03:53:29,716,@aliyaindah,https://farcaster.xyz/aliyaindah,0x182a4e4759e9f841682dc7d89b5cccd6ccb6a82d,0.00050 ETH ($1),0.0005,1.06,0,46057131,0x09576c981f57699a8123b0f029aa4c297fa7d6f5fa4985a6a4ee5f696aa0edb0
2026-05-16 03:40:57,715,@farcy,https://farcaster.xyz/farcy,0x84cb3b93f9a918632f05528770b5cf926396b0f4,0.01331 ETH ($28),0.01331,28.1,0,46056755,0xa18859fd1ec26be07d61ab373f56d8928f2d21070f85bdf2977dc038eb448e80
2026-05-16 03:26:57,715,@aliyaindah,https://farcaster.xyz/aliyaindah,0x182a4e4759e9f841682dc7d89b5cccd6ccb6a82d,0.01210 ETH ($26),0.0121,25.54,0,46056335,0xae84db56e367f35d246ea6f24010c4655b3530fe3696ba938132f32a5792e4a1
2026-05-15 23:51:27,715,@farcy,https://farcaster.xyz/farcy,0x84cb3b93f9a918632f05528770b5cf926396b0f4,0.01100 ETH ($23),0.011,23.22,0,46049870,0xc79a5e9e011b767ce685856e86164a6cf851897bafcc4ed0ed667b81eb7cf8e6
2026-05-15 08:01:49,715,@0xael.eth,https://farcaster.xyz/0xael.eth,0x76d0e7a13248945ee9f808b4a472262b28778942,0.01000 ETH ($21),0.01,21.11,0,46021381,0x32b6de3dd4c0002d6780c213da9ca49429fd979f06f75b945d76953da50a8a0c
2026-05-15 03:57:09,715,@aliyaindah,https://farcaster.xyz/aliyaindah,0x182a4e4759e9f841682dc7d89b5cccd6ccb6a82d,0.00100 ETH ($2),0.001,2.11,0,46014041,0xe590da709f9788a0080f6c18ff3f1df6ec6f950bd9437a1fdc35cb2af5d3f906
2026-05-15 03:34:29,714,@staraptor.eth,https://farcaster.xyz/staraptor.eth,0x3516006709b775e01b48dfb5fad355a4e793e347,0.01300 ETH ($27),0.013,27.44,1,46013361,0xba10bb50975c9a96e858fc19db118c8c7fc7b245df3dc957e9076e3cb4eaa3bc
2026-05-15 03:30:55,714,@aliyaindah,https://farcaster.xyz/aliyaindah,0x182a4e4759e9f841682dc7d89b5cccd6ccb6a82d,0.01181 ETH ($25),0.01181,24.93,1,46013254,0xb7f76362a3b4ebbc6378248dfce1f5b4e81ac0cffc0c30953c325e11db036589
2026-05-15 03:29:29,714,@staraptor.eth,https://farcaster.xyz/staraptor.eth,0x3516006709b775e01b48dfb5fad355a4e793e347,0.01073 ETH ($23),0.01073,22.65,1,46013211,0xd403fe51277ca74f3c2bd7135448fdb4af808c2a589b3bfa178729a33c5255e0
2026-05-15 03:26:39,714,@aliyaindah,https://farcaster.xyz/aliyaindah,0x182a4e4759e9f841682dc7d89b5cccd6ccb6a82d,0.00975 ETH ($21),0.00975,20.58,1,46013126,0xa1f33cf88b7613a4c999eddf07bdd444307b9220578eb5f82c7ca72ab99af84a
2026-05-15 03:25:43,714,@staraptor.eth,https://farcaster.xyz/staraptor.eth,0x3516006709b775e01b48dfb5fad355a4e793e347,0.00886 ETH ($19),0.00886,18.7,1,46013098,0x48688277c134344fe9e9c29a40d46d829c896aaca10f7fa35b4075a82456e1dd
2026-05-15 03:21:45,714,@aliyaindah,https://farcaster.xyz/aliyaindah,0x182a4e4759e9f841682dc7d89b5cccd6ccb6a82d,0.00805 ETH ($17),0.00805,16.99,1,46012979,0x012510f0bcadf4ea02cebbf453ecc770bbb591ff41396ae50407299ad9b5c3d6
2026-05-14 17:37:19,714,@farcy,https://farcaster.xyz/farcy,0x84cb3b93f9a918632f05528770b5cf926396b0f4,0.00731 ETH ($15),0.00731,15.43,0,45995446,0x891e5149ba134862d389b1fc603a0d052793812e35bfb2bb4ecba4d8ddede734
2026-05-14 03:37:49,714,@aliyaindah,https://farcaster.xyz/aliyaindah,0x182a4e4759e9f841682dc7d89b5cccd6ccb6a82d,0.00664 ETH ($14),0.00664,14.02,0,45970261,0xf0f1d67777433cea0780f6162ae9f607c6c349981af74a60d8080973e26d364a
2026-05-14 03:27:41,714,@badadan,https://farcaster.xyz/badadan,0xa2648350f3566e4f18a9519734928d08d3ea08c4,0.00603 ETH ($13),0.00603,12.73,0,45969957,0x51bf699f30611d5eba35a52a1791039914a963add2bd261a4ee0160bf480c88e
2026-05-14 03:19:07,713,@badadan,https://farcaster.xyz/badadan,0xa2648350f3566e4f18a9519734928d08d3ea08c4,0.01612 ETH ($34),0.01612,34.03,1,45969700,0x1106f15e33284586d4bd91009547098ad20b5cb1dc3016a793b84e332a42b24d
2026-05-14 03:14:31,713,@vaibhavmule,https://farcaster.xyz/vaibhavmule,0xffe16898fc0af80ee9bcf29d2b54a0f20f9498ad,0.01465 ETH ($31),0.01465,30.93,1,45969562,0xb50da047de39b707d26369aec8147e205ac53140d85256491135246f331f2d63
2026-05-14 03:11:15,713,@aliyaindah,https://farcaster.xyz/aliyaindah,0x182a4e4759e9f841682dc7d89b5cccd6ccb6a82d,0.01331 ETH ($28),0.01331,28.1,1,45969464,0x2effeb5828166e58c5ca4ca981d9eb2492d1ef01aa278f203063d19d82570224
